Distance_km, Speed_km/s, orbitType
8196.47385644634,11.2,Hyperbolic Orbit
8174.70420582841,11.2,Hyperbolic Orbit
8154.20545434806,11.2,Hyperbolic Orbit
8134.97931367202,11.2,Hyperbolic Orbit
8117.02740272361,11.2,Hyperbolic Orbit
8100.35124502444,11.2,Hyperbolic Orbit
8084.95226618176,11.2,Hyperbolic Orbit
8070.83179152757,11.2,Hyperbolic Orbit
8057.99104391539,11.2,Hyperbolic Orbit
8046.43114168038,11.2,Hyperbolic Orbit
8036.15309676757,11.2,Hyperbolic Orbit
8027.15781303342,11.2,Hyperbolic Orbit
8019.44608472467,11.2,Hyperbolic Orbit
8013.01859513864,11.2,Hyperbolic Orbit
8007.87591546833,11.2,Hyperbolic Orbit
8004.01850383534,11.2,Hyperbolic Orbit
8001.44670451319,11.2,Hyperbolic Orbit
8000.16074734297,11.2,Hyperbolic Orbit
8000.16074734297,11.2,Hyperbolic Orbit
8001.44670451319,11.2,Hyperbolic Orbit
8004.01850383534,11.2,Hyperbolic Orbit
8007.87591546833,11.2,Hyperbolic Orbit
8013.01859513864,11.2,Hyperbolic Orbit
8019.44608472467,11.2,Hyperbolic Orbit
8027.15781303342,11.2,Hyperbolic Orbit
8036.15309676757,11.2,Hyperbolic Orbit
8046.43114168038,11.2,Hyperbolic Orbit
8057.99104391539,11.2,Hyperbolic Orbit
8070.83179152757,11.2,Hyperbolic Orbit
8084.95226618176,11.2,Hyperbolic Orbit
8100.35124502444,11.2,Hyperbolic Orbit
8117.02740272361,11.2,Hyperbolic Orbit
8134.97931367202,11.2,Hyperbolic Orbit
8154.20545434806,11.2,Hyperbolic Orbit
8174.70420582841,11.2,Hyperbolic Orbit
8196.47385644634,11.2,Hyperbolic Orbit
8219.51260458927,11.2,Hyperbolic Orbit
8243.81856162868,11.2,Hyperbolic Orbit
8269.38975497547,11.2,Hyperbolic Orbit
8296.22413125367,11.2,Hyperbolic Orbit
8324.31955958501,11.2,Hyperbolic Orbit
8353.67383497695,11.2,Hyperbolic Orbit
8384.28468180648,11.2,Hyperbolic Orbit
8416.14975739194,11.2,Hyperbolic Orbit
8449.26665564514,11.2,Hyperbolic Orbit
8483.6329107959,11.2,Hyperbolic Orbit
8519.24600118125,11.2,Hyperbolic Orbit
8556.10335309134,11.2,Hyperbolic Orbit
8594.20234466446,11.2,Hyperbolic Orbit
8633.5403098233,11.2,Hyperbolic Orbit
8674.11454224497,11.2,Hyperbolic Orbit
8715.92229935721,11.2,Hyperbolic Orbit
